ticker	cik
aapl	320193
msft	789019
goog	1652044
amzn	1018724
tsla	1318605
fb	1326801
ge	40545
brk-a	1067983
tsm	1046179
jpm	19617
v	1403161
hd	354950
unh	731766
spy	884394
jnj	200406
lvmuy	824046
wmt	104169
bac	70858
pg	80424
baba	1577552
asml	937966
adbe	796343
ma	1141391
pfe	78003
nflx	1065280
nke	320187
dis	1744489
crm	1108524
xom	34088
orcl	1341439
tmo	97745
nvo	353278
tm	1094517
cost	909832
lly	59478
csco	858877
cmcsa	1166691
dhr	313616
acn	1467373
avgo	1730168
ko	21344
abt	1800
pep	77476
cvx	93410
pypl	1633917
vz	732712
nvda	1045810
qcom	804328
abbv	1551152
intc	50863
wfc	72971
amd	2488
mrk	310158
shop	1594805
mcd	63908
nvs	1114448
intu	896878
txn	97476
ms	895421
ups	1090727
low	60667
nee	753308
vwdry	1330306
lin	1707925
rds-a	1306965
t	732717
unp	100885
sony	313838
qqq	1067839
se	1703399
sap	1000184
schw	316709
mdt	1613103
azn	901832
bhp	811809
mrna	1682852
ry	1000275
hon	773840
blk	1364742
bbl	1171264
tmus	1283699
amat	6951
pm	1413329
ul	217410
ptr	1108329
c	831001
jd	1549802
td	947263
gs	886982
sbux	829224
now	1373715
tte	879764
rtx	101829
axp	4962
chtr	1091667
bmy	14272
tgt	27419
hdb	1144967
el	1001250
amt	1053507
deo	835403
sny	1121404
cvs	64803
ba	12927
amgn	318154
rtntf	887028
hsbc	1089113
pld	1045609
bud	1668717
spgi	64040
de	315189
abnb	1559720
cat	18230
zts	1555280
ibm	51143
gsk	1131399
lfc	1268896
snow	1640147
bx	1393818
antm	1156039
rio	863064
mmm	66740
idexy	1438656
adp	8670
lrcx	707549
infy	1067491
sq	1512673
cop	1163165
mu	723125
team	1650372
lmt	936468
sftby	1065521
cni	16868
syk	310764
shw	89800
eadsy	1378580
bp	313807
bam	1001085
gild	882095
bkng	1075531
bntx	1776985
gm	1467858
tjx	109198
pnc	713676
mmc	62709
pdd	1737806
usb	36104
mdlz	1103982
coin	1679788
eqnr	1140625
cta-pa	30554
cb	896159
tfc	92230
mo	764180
cme	1156375
cci	1051470
bnpqy	310732
bti	1303523
f	37996
enb	895728
bns	9631
duk	1326160
hca	860730
ice	1571949
itw	49826
mco	1059556
ntes	1110646
eqix	1101239
snap	1564408
rblx	1315098
uber	1543151
atlcy	748954
abb	1091587
pbr	1119639
bdx	10795
mufg	67088
wm	823768
regn	872589
wday	1327811
bmo	927971
njdcy	1158967
aon	315293
ew	1099800
adi	6281
nsc	702165
snp	1123658
ci	1739940
apd	2969
fis	1136893
so	92122
race	1648416
etn	1551182
fisv	798354
ibn	1103838
nio	1736541
cof	927628
cl	21665
vale	917851
ecl	31462
glncy	1524684
klac	319201
zm	1585521
nxpi	1413447
lulu	1397187
fdx	1048911
ubs	1610520
ifnny	1107457
relx	929869
prndy	899108
tri	1075124
meli	1099590
mrvl	1835632
net	1477333
dash	1792789
amx	1129137
d	715957
rbgly	1420798
psa	1393311
xlnx	743988
noc	1133421
adsk	769397
sxyay	1575851
ddog	1561550
dxcm	1093557
pgr	80661
fcx	831259
ftnt	1262039
info	1598014
hum	49071
gd	40533
bsx	885725
stla	1605484
san	891478
dnngy	1679771
ing	1039765
jci	833444
chgcy	1453934
ilmn	1110803
